12T,ID
Afghanistan,2
Akrotiri,259
Albania,4
Algeria,5
American Samoa,260
Andorra,7
Angola,8
Anguilla,261
Antigua,11
Antigua and Barbuda,11
Argentina,12
Armenia,13
Aruba,262
Ashmore and Cartier Islands,263
Australia,16
Austria,17
Azerbaijan,18
Azores,312
Bahamas,19
Bahrain,20
Baker Island,264
Bangladesh,22
Barbados,23
Belarus,24
Belgium,25
Belize,26
Benin,27
Bermuda,257
Bhutan,29
Bolivia,30
Borneo,107
Bosnia and Herzegovina,31
Botswana,32
Bouvet Island,174
Brazil,33
British Indian Ocean Territory,240
British Solomon Islands,240
British Virgin Islands,265
Brunei,35
Bulgaria,36
Burkina Faso,37
Burma (Myanmar),38
Burma/Myanmar,38
Burundi,39
Cambodia,40
Cameroon,256
Canada,42
Canary Islands,313
Cape Verde,43
Cayman Islands,266
Central African Republic,45
Chad,46
Chile,47
China,48
China (P.R.O.C.),48
Christmas Island,267
Cocos (Keeling) Islands,268
Cocos Islands,268
Colombia,52
Comoros,53
Congo - Democratic Republic of the,54
Congo - Republic of the,55
Cook Islands,269
Coral Sea Islands,270
Costa Rica,58
Cote D Ivoire,59
Cote d'Ivoire,59
Croatia,60
Cuba,61
Curacao,262
Cyprus,62
Czech Republic,63
Dem. Peoples Rep. of Korea (North),125
Democratic Republic of Congo,54
Denmark,64
Dhekelia,271
Djibouti,66
Dominica,67
Dominican Republic,68
Ecuador,69
Egypt,70
El Salvador,71
England,240
Equatorial Guinea,72
Eritrea,73
Estonia,74
Ethiopia,75
Falkland Islands,272
Falkland Islands (Islas Malvinas),272
Faroe Islands,273
Federated States of Micronesia,151
Fiji,79
Finland,80
France,81
French Guiana,314
French Guyana,314
French Polynesia,274
French Southern and Antarctic Lands,81
Gabon,83
Gambia,84
Gambia The,84
Gaza Strip,275
Georgia,86
Germany,87
Ghana,88
Gibraltar,276
Greece,90
Greenland,91
Grenada,92
Guadeloupe,317
Guam,277
Guatemala,94
Guernsey,278
Guinea,96
Guinea-Bissau,97
Guyana,98
Haiti,99
Holy See (Vatican City),101
Honduras,102
Hong Kong,311
Hong Kong S.A.R.,311
Howland Island,279
Hungary,104
Iceland,105
India,106
Indonesia,107
Iran,108
Iraq,109
Ireland,110
Isle of Man,280
Israel,112
Italy,113
Jamaica,114
Jan Mayen,281
Japan,116
Jarvis Island,282
Jersey,283
Johnston Atoll,284
Jordan,120
Kazakhstan,121
Kenya,122
Kingman Reef,285
Kiribati,124
"Korea, South",126
KoreaSouth,126
Kosovo,254
Kuwait,127
Kyrgyzstan,128
Laos,129
Latvia,130
Lebanon,131
Lesotho,132
Liberia,133
Libya,134
Liechtenstein,135
Lithuania,136
Luxembourg,137
Macau,286
Macedonia,139
Madagascar,140
Malawi,141
Malaysia,142
Maldives,143
Mali,144
Malta,145
Marshall Islands,146
Martinique,319
Mauritania,147
Mauritius,148
Mayotte,287
Mexico,150
Micronesia,151
Midway Islands,288
Moldova,153
Monaco,154
Mongolia,155
Montenegro,156
Montserrat,289
Morocco,158
Mozambique,159
Myanmar,38
Namibia,160
Nauru,161
Navassa Island,290
Nepal,163
Netherland Antilles,291
Netherlands,164
Netherlands Antilles,291
New Caledonia,292
New Zealand,167
Nicaragua,168
Niger,169
Nigeria,170
Niue,293
Norfolk Island,294
North Korea,125
Northern Ireland,240
Northern Mariana Islands,295
Norway,174
Oman,175
Pakistan,176
Palau,177
Palestine,310
Panama,179
Papua New Guinea,180
Papua New Guninea,180
Paracel Island,296
Paracel Islands,296
Paraguay,182
Peru,183
Philippines,184
Pitcairn Island,297
Pitcairn Islands,297
Poland,186
Portugal,187
Qatar,189
Republic of Congo,55
Reunion,321
Reunion Island,321
Romania,190
Russia,191
Rwanda,192
Ryukyu Islands,322
Saint Barthelemy,81
Saint Helena,299
Saint Kitts and Nevis,194
Saint Lucia,195
Saint Martin,81
Saint Pierre and Miquelon,300
Saint Vincent and the Grenadines,197
Samoa,198
San Marino,199
Sao Tome and Principe,200
Saudi Arabia,201
Scotland,240
Senegal,202
Serbia,203
Seychelles,204
Sierra Leone,205
Singapore,206
Sint Maarten,258
Slovakia,207
Slovenia,208
Solomon Islands,209
Somalia,210
South Africa,211
South Korea,126
South Sudan,255
Spain,213
Spratly Island,301
Spratly Islands,301
Sri Lanka,215
St Kitts and Nevis,194
St Vincent and the Grenadines,197
St. Helena,299
St. Lucia,195
St. Pierre and Miquelon,300
Sudan,216
Suriname,217
Svalbard,302
Swaziland,219
Sweden,220
Switzerland,221
Syria,222
Taiwan,223
Taiwan (R.O.C.),223
Tajikistan,224
Tanzania,225
Thailand,226
Timor-Leste,227
Togo,228
Tokelau,303
Tokelau Islands,303
Tonga,230
Trinidad and Tobago,231
Tunisia,232
Turkey,233
Turkmenistan,234
Turks and Caicos Islands,304
Tuvalu,236
Uganda,237
Ukraine,238
United Arab Emirates,239
United Kingdom,240
United States,1
United States (USA),1
Uruguay,241
Uzbekistan,242
Vanuatu,243
Vatican City,101
Venezuela,244
Vietnam,245
Virgin Islands,305
Wake Island,306
Wales,240
Wallis and Futuna,307
Walls and Futuna,307
West Bank,308
Western Sahara,309
Yemen,251
Yugoslavia,323
Zambia,252
Zimbabwe,253
